Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,136,Germany,12089.000000000002
Sport Boat,B̩n̩teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,141,France,13200.000000000002
"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,442,Serbia,13200.000000000002
Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,327,Germany,13200.000000000002
Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,188,Italy,13200.000000000002
"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,1101,Germany,13200.000000000002
Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,141,France,13189.000000000002
Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,284,Switzerland,1942.5
Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,273,Switzerland,1935.0
Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,365,Switzerland,1935.0
Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,180,Germany,14047.000000000002
Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.0,2.0,GRP,147,Italy,13750.000000000002
Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,235,Germany,13750.000000000002
Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,452,Italy,13750.000000000002
Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,165,Netherlands,13750.000000000002
"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,436,Switzerland,2220.0
Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,35,Slovak,15059.000000000002
Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,212,Switzerland,2205.0
Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,121,Italy,14850.000000000002
Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,110,France,14850.000000000002
Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,83,Netherlands,14850.000000000002
Sport Boat,Lema power boats,"Used boat,Diesel",1996,7.0,2.0,PVC,264,Spain,14850.000000000002
Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,109,Italy,14850.000000000002
Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,132,Croatia,14850.000000000002
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2.0,PVC,81,France,14850.000000000002
Sport Boat,B̩n̩teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,262,France,14850.000000000002
Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3.0,2.0,PVC,186,Portugal,15950.000000000002
Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,292,Switzerland,2340.0
Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,119,Germany,15802.600000000002
Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,151,Switzerland,2325.0
Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,285,Switzerland,15620.000000000002
Sport Boat,Gobbi power boats,Used boat,1997,9.15,3.0,GRP,281,Italy,15400.000000000002
Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,6.42,2.38,GRP,132,Italy,15400.000000000002
Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,118,Croatia,15400.000000000002
Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,156,Germany,16390.0
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10.0,3.0,GRP,111,Croatia,16390.0
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,87,Italy,16390.0
Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,70,Germany,16390.0
Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,356,Italy,16390.0
Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,198,Germany,16390.0
Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,68,France,16390.0
Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,80,Switzerland,16390.0
Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5.0,2.1,GRP,180,Germany,16390.0
Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,145,Germany,17050.0
Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,125,Austria,17050.0
"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,236,Austria,17050.0
Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,253,Netherlands,17050.0
Trawler,Skilș power boats,"Used boat,Diesel",1979,7.0,2.5,GRP,311,Germany,17050.0
Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,219,Germany,17048.9
Deck Boat,Jeanneau power boats,new boat from stock,2017,5.0,2.0,PVC,71,Slovak,17039.0
Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,56,Germany,16990.600000000002
