Boat_Type,Manufacturer,Type,Year_Built,Length,Width,Material,Views_7_days,Country,Amount_US
Offshore Boat,Performance power boats,"Used boat,Unleaded",2006,10.97,3.0,GRP,127,Italy,187000.00000000003
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2011,14.99,4.41,GRP,404,Spain,187000.00000000003
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2014,10.8,3.59,GRP,220,Germany,187000.00000000003
Flybridge,Azimut power boats,"Used boat,Diesel",1998,14.5,4.42,GRP,131,Italy,187000.00000000003
Flybridge,Azimut power boats,"Used boat,Diesel",2000,12.99,4.16,GRP,242,Croatia,186890.00000000003
Trawler,Smelne power boats,Used boat,2001,11.75,3.9,Steel,68,Netherlands,186890.00000000003
Flybridge,Cranchi power boats,"Used boat,Diesel",2011,11.83,3.83,GRP,110,Spain,186450.00000000003
Cabin Boat,Linex power boats,"Used boat,Diesel",2011,10.1,3.15,GRP,154,Germany,186450.00000000003
"Classic,Trawler",Grand Banks power boats,"Used boat,Diesel",1973,14.02,0.9943365695792881,Wood,171,Croatia,185900.00000000003
Flybridge,Sealine power boats,"Used boat,Diesel",2002,13.24,4.16,GRP,154,Netherlands,185900.00000000003
Flybridge,Mochi Craft power boats,"Used boat,Diesel",1991,16.5,4.73,GRP,120,Italy,185900.00000000003
Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2007,12.0,4.0,GRP,40,Slovenia,185900.00000000003
Motor Yacht,Super van Craft power boats,Used boat,1983,16.2,4.35,Steel,67,Netherlands,185900.00000000003
Motor Yacht,B̩n̩teau power boats,Used boat,2006,15.1,4.49,GRP,69,Italy,185900.00000000003
Flybridge,Azimut power boats,"Used boat,Diesel",2000,14.65,4.4,PVC,72,Spain,185900.00000000003
Motor Yacht,Sealine power boats,"Used boat,Diesel",2005,12.56,4.06,GRP,111,Spain,185900.00000000003
Trawler,Smelne power boats,Used boat,2000,13.0,4.0,Steel,57,Netherlands,185900.00000000003
Flybridge,Neptunus power boats,"Used boat,Diesel",1999,11.7,3.85,GRP,87,Germany,185900.00000000003
Motor Yacht,Sealine power boats,"Used boat,Diesel",2000,15.67,4.58,GRP,120,Spain,185900.00000000003
Motor Yacht,Albemarle power boats,"Used boat,Diesel",2007,12.5,4.8,GRP,42,Germany,184800.00000000003
Flybridge,Intermare power boats,"Used boat,Diesel",2004,12.0,4.05,GRP,47,Italy,184800.00000000003
Motor Yacht,Albemarle power boats,"Used boat,Diesel",2006,12.5,4.8,GRP,56,Germany,184800.00000000003
Flybridge,Princess power boats,"Used boat,Diesel",1997,13.05,4.17,GRP,265,Germany,183700.00000000003
Motor Yacht,Sealine power boats,"Used boat,Diesel",2000,11.46,3.78,GRP,287,Germany,27000.0
Flybridge,Sealine power boats,"Used boat,Diesel",2007,11.74,3.78,GRP,159,Austria,182600.00000000003
Center console boat,De Antonio Yachts power boats,"new boat on order,Unleaded",2020,10.2,3.4,GRP,115,Switzerland,182490.00000000003
Sport Boat,XO Boats power boats,"Used boat,Unleaded",2018,8.6,2.6,Aluminium,265,Switzerland,26850.0
House Boat,Linssen power boats,"Used boat,Diesel",1998,10.1,3.45,Steel,806,Switzerland,26850.0
Deck Boat,Invictus power boats,new boat from stock,2020,8.9,2.84,GRP,111,France,182039.00000000003
Flybridge,Azimut power boats,"Used boat,Diesel",1997,14.6,4.42,GRP,77,Italy,181500.00000000003
Motor Yacht,Linex power boats,"Used boat,Diesel",2018,10.1,3.15,GRP,115,Italy,181500.00000000003
Center console boat,Gobbi power boats,"Used boat,Diesel",2007,12.0,4.05,GRP,159,Spain,181500.00000000003
Motor Yacht,Cranchi power boats,"Used boat,Diesel",2008,14.19,4.1,GRP,129,Italy,181500.00000000003
Flybridge,Rio power boats,Used boat,2016,10.0,3.3,GRP,74,Italy,181500.00000000003
Flybridge,Prestige Yachts power boats,"Used boat,Diesel",2007,13.36,4.16,PVC,117,France,181500.00000000003
Sport Boat,Formula power boats,"Used boat,Diesel",2009,11.43,3.63,PVC,56,Spain,181500.00000000003
Hardtop,Jeanneau power boats,"Used boat,Diesel",2011,10.55,3.73,PVC,55,Greece,181500.00000000003
Motor Yacht,Gobbi power boats,"Used boat,Diesel",2006,13.7,4.22,GRP,156,Spain,181500.00000000003
Hardtop,Airon Marine power boats,"Used boat,Diesel",2007,13.45,3.74,PVC,79,France,181500.00000000003
Offshore Boat,Magnum power boats,"Used boat,Diesel",1990,12.24,3.75,GRP,109,Italy,181500.00000000003
Motor Yacht,Princess power boats,"Used boat,Diesel",2000,17.04,4.27,GRP,114,Italy,181500.00000000003
Flybridge,Raffaelli power boats,"Used boat,Diesel",2001,15.83,4.3,GRP,117,Italy,181500.00000000003
Flybridge,B̩n̩teau power boats,Used boat,2010,11.37,3.85,GRP,190,Netherlands,181500.00000000003
Motor Yacht,Galeon power boats,"Used boat,Diesel",2007,11.0,3.0,GRP,104,Slovenia,181500.00000000003
Sport Boat,Boesch power boats,"Used boat,Electric",2008,6.2,2.2,Wood,129,Germany,181500.00000000003
Motor Yacht,B̩n̩teau power boats,"new boat on order,Unleaded",2021,11.16,3.49,GRP,173,Germany,181269.00000000003
Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2007,15.11,4.45,PVC,100,Martinique,180950.00000000003
Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2020,9.22,3.0,PVC,39,United,194935.0
Motor Yacht,Atlantis power boats,"Used boat,Diesel",2007,12.8,4.1,GRP,333,Germany,180400.00000000003
Pilothouse,Minor power boats,"Used boat,Diesel",2011,9.7,3.2,GRP,248,Germany,179300.0
Motor Yacht,Fairline power boats,"Used boat,Diesel",2000,13.78,3.8,GRP,229,Germany,179300.0
Motor Yacht,Jeanneau power boats,Used boat,2017,10.57,3.21,PVC,96,France,178200.0
Sport Boat,Marino power boats,"Used boat,Diesel",2013,8.2,2.9,GRP,128,Switzerland,26250.0
Flybridge,Marine Offshore power boats,Used boat,1999,14.5,4.65,GRP,70,Denmark,1320000.0
Sport Boat,Cormate power boats,"new boat from stock,Unleaded",2018,8.46,2.55,GRP,190,Switzerland,177100.0
Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.23,3.0,PVC,120,France,176726.0
Sport Boat,Jeanneau power boats,"new boat from stock,Diesel",2020,9.23,3.0,PVC,89,France,176632.5
Hardtop,Cabo power boats,"Used boat,Diesel",2002,11.47,3.96,GRP,34,Italy,176000.0
"Fishing Boat,Launch,Motor Yacht",Riviera power boats,"Used boat,Diesel",2007,11.73,3.84,GRP,327,Italy,176000.0
Motor Yacht,Azimut power boats,"Used boat,Diesel",2001,14.6,4.42,GRP,86,Italy,176000.0
Hardtop,Cantieri di Sarnico power boats,"Used boat,Diesel",2000,14.54,4.3,GRP,110,Italy,176000.0
Motor Yacht,Bavaria power boats,"Display Model,Unleaded",2020,8.95,2.99,GRP,278,Germany,176000.0
Center console boat,Cranchi power boats,"Used boat,Diesel",2008,11.95,4.13,GRP,206,Italy,176000.0
Hardtop,Conam power boats,"Used boat,Diesel",2006,14.02,4.4,GRP,126,Italy,175890.0
Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2013,12.32,3.77,PVC,111,France,175890.0
Cabin Boat,Jeanneau power boats,"new boat on order,Unleaded",2020,8.9,2.99,GRP,88,Germany,175890.0
Cabin Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.45,3.37,GRP,169,Germany,175890.0
Motor Yacht,Neptunus Yachts power boats,"Used boat,Diesel",1996,12.9,4.2,GRP,207,Germany,175890.0
Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",2009,10.82,3.5,GRP,116,Germany,175450.0
Working Boat,Stormer power boats,Used boat,2014,9.5,2.99,Aluminium,107,Netherlands,175450.0
Sport Boat,Bavaria power boats,"Used boat,Diesel",2010,12.92,4.28,GRP,162,Spain,175450.0
Motor Yacht,Neptunus power boats,"Used boat,Diesel",2003,13.3,3.95,GRP,293,Germany,175450.0
Sport Boat,Bavaria power boats,"new boat from stock,Unleaded",2020,9.31,2.99,GRP,1710,Switzerland,175294.90000000002
Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.9,3.4,PVC,86,Portugal,174967.1
Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2009,15.11,4.45,PVC,45,Turkey,188500.0
Motor Yacht,Bavaria power boats,Used boat,2011,11.8,3.99,GRP,194,Spain,174900.0
Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2016,10.62,3.38,PVC,59,France,174900.0
Sport Boat,Boesch power boats,"Used boat,Unleaded",1993,9.3,3.0,Wood,211,Italy,174900.0
Runabout,Boesch power boats,"Used boat,Unleaded",2005,7.1,2.4,Wood,112,Austria,174900.0
Trawler,Doggersbank power boats,Used boat,1997,15.0,4.5,Steel,59,Netherlands,174900.0
Pilothouse,Nimbus power boats,Used boat,2008,11.5,3.6,GRP,106,Croatia,174900.0
Motor Yacht,Hatteras power boats,Used boat,1988,13.84,4.42,GRP,23,Italy,174900.0
Flybridge,Sealine power boats,"Used boat,Diesel",2004,11.74,3.31,GRP,141,Germany,174900.0
Sport Boat,Invictus power boats,"new boat from stock,Diesel",2019,8.9,2.84,PVC,133,France,174886.80000000002
Flybridge,Sanlorenzo power boats,"Used boat,Diesel",1987,17.0,5.0,GRP,45,Croatia,174790.0
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,8.1,2.56,GRP,254,Germany,174185.0
Flybridge,Dellapasqua power boats,"Used boat,Diesel",1998,15.98,4.4,GRP,39,Italy,173800.0
Flybridge,Neptunus power boats,"Used boat,Diesel",1997,12.9,4.3,GRP,73,Germany,173789.0
Sport Boat,Frauscher power boats,"new boat from stock,Unleaded",2020,7.47,2.5,GRP,358,Switzerland,173461.2
Cabin Boat,NUVA Yachts power boats,"Display Model,Unleaded",2020,9.2,2.99,GRP,106,Germany,173250.0
Sport Boat,Jeanneau power boats,new boat from stock,2020,9.98,3.23,PVC,30,United,186399.2
Motor Yacht,Rapsody power boats,Used boat,2007,9.68,2.88,GRP,147,Netherlands,172700.0
Flybridge,Sealine power boats,"Used boat,Diesel",2006,12.0,4.0,GRP,469,Italy,171600.0
Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,7.88,2.46,GRP,301,Switzerland,25236.149999999998
Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,7.88,2.46,GRP,148,Switzerland,25236.149999999998
Sport Boat,Windy power boats,"new boat from stock,Unleaded",2019,7.88,2.46,GRP,246,Switzerland,25200.0
Hardtop,B̩n̩teau power boats,"Used boat,Unleaded",2013,9.67,3.35,GRP,386,Switzerland,25200.0
"Classic,Motor Yacht",Chris Craft power boats,Used boat,1930,8.0,1.8,Wood,74,Germany,170500.0
Motor Yacht,Performance power boats,Used boat,2005,11.9,3.0,GRP,80,Netherlands,170500.0
Flybridge,Azimut power boats,"Used boat,Diesel",2006,12.0,4.0,GRP,179,Croatia,170500.0
Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2006,10.35,4.4,GRP,410,France,170500.0
Motor Yacht,Mochi Craft power boats,"Used boat,Diesel",1997,18.3,4.55,GRP,51,Spain,170390.0
Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2019,7.85,2.49,GRP,306,Austria,170108.40000000002
Trawler,Vri-Jon power boats,"Used boat,Diesel",2001,11.2,3.8,Steel,264,Switzerland,25050.0
Motor Yacht,B̩n̩teau power boats,new boat from stock,2020,11.08,3.4,GRP,104,France,169832.30000000002
Wakeboard/Wakesurf,Supra power boats,"Display Model,Unleaded",2020,7.48,2.58,GRP,278,Switzerland,24996.0
Motor Yacht,Performance power boats,"Used boat,Unleaded",2006,10.8,3.0,GRP,77,Germany,169400.0
Hardtop,Mirakul power boats,"new boat on order,Diesel",2020,9.19,3.1,GRP,277,Switzerland,169400.0
Motor Yacht,Cruisers Yachts power boats,"Used boat,Diesel",2003,14.2,4.2,GRP,140,Netherlands,169400.0
Flybridge,Sealine power boats,"Used boat,Diesel",2006,11.5,3.78,GRP,70,Croatia,169400.0
Flybridge,Fairline power boats,"Used boat,Diesel",2001,13.41,3.96,PVC,82,Spain,181935.0
Sport Boat,Grandezza power boats,"new boat on order,Unleaded",2020,8.8,2.85,GRP,132,Croatia,169004.0
Flybridge,Princess power boats,"Used boat,Diesel",2001,12.1,3.7,PVC,78,United,181935.0
Hardtop,Jeanneau power boats,"new boat from stock,Diesel",2017,9.14,2.74,PVC,57,United,181935.0
Motor Yacht,Absolute power boats,"Used boat,Diesel",2004,13.75,4.24,GRP,56,France,181350.0
"Classic,Runabout",Riva power boats,Used boat,1959,6.52,2.16,Wood,413,Switzerland,24750.0
Sport Boat,Cranchi power boats,"new boat from stock,Unleaded",2020,7.85,2.49,GRP,433,Switzerland,167491.5
Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2020,8.5,2.99,GRP,120,Germany,167420.0
Pilothouse,AXOPAR power boats,"new boat from stock,Unleaded",2020,9.2,2.95,GRP,268,Switzerland,167238.5
"Classic,Runabout",Comitti power boats,"Display Model,Unleaded",2017,6.5,2.15,Wood,145,Switzerland,167200.0
Fishing Boat,Pursuit power boats,Used boat,2013,8.7,2.85,GRP,71,Italy,167200.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,11.8,3.99,GRP,193,Italy,167200.0
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,7.9,2.59,GRP,71,Austria,166650.0
Flybridge,Jeanneau power boats,Used boat,2010,11.3,3.9,GRP,115,Italy,165000.0
Flybridge,Doqueve power boats,"Used boat,Diesel",2002,12.0,4.0,GRP,43,Spain,165000.0
Trawler,Zijlmans power boats,"Used boat,Diesel",1997,14.0,4.2,Steel,107,Netherlands,165000.0
"Classic,Pontoon Boat",Hans A. Deerberg power boats,"Used boat,Diesel",1984,9.25,2.25,Wood,158,Switzerland,165000.0
Flybridge,Cranchi power boats,"Used boat,Diesel",2004,12.8,4.2,GRP,68,Italy,165000.0
Sport Boat,AXOPAR power boats,"Used boat,Unleaded",2016,11.2,3.3,GRP,245,Germany,165000.0
Flybridge,Princess power boats,"Used boat,Diesel",1997,15.23,4.32,PVC,85,France,165000.0
Motor Yacht,Sessa power boats,Used boat,2008,11.51,3.5,GRP,31,Italy,165000.0
Sport Boat,Stilecatalini power boats,"Used boat,Diesel",2018,8.12,3.5,GRP,115,Italy,165000.0
Fishing Boat,Bertram Yacht power boats,"Used boat,Diesel",1980,11.5,4.03,GRP,73,Italy,165000.0
Flybridge,Ferretti power boats,"Used boat,Diesel",1995,13.98,4.5,GRP,59,Italy,165000.0
Motor Yacht,Fiart Mare power boats,"Used boat,Diesel",2006,12.45,4.02,GRP,85,Italy,165000.0
Flybridge,Sea Ray power boats,Used boat,2008,11.58,4.0,GRP,142,Malta,165000.0
Flybridge,Sea Ray power boats,Used boat,2008,11.58,3.96,GRP,156,Malta,165000.0
Motor Yacht,Sessa power boats,Used boat,2008,11.5,3.5,GRP,63,Italy,165000.0
Motor Yacht,Sessa power boats,"Used boat,Diesel",2009,11.28,3.35,GRP,105,Italy,165000.0
Pilothouse,B̩n̩teau power boats,"new boat from stock,Unleaded",2020,9.0,2.99,PVC,68,France,165000.0
Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2010,9.98,3.8,GRP,155,France,165000.0
Cabin Boat,Bavaria power boats,"Used boat,Unleaded",2010,10.4,3.45,GRP,383,Austria,165000.0
Flybridge,Astondoa power boats,"Used boat,Diesel",2000,13.9,4.28,GRP,170,Spain,165000.0
Trawler,B̩n̩teau power boats,"Used boat,Diesel",2008,13.5,4.17,GRP,130,Croatia,165000.0
Sport Boat,SAY power boats,"Used boat,Unleaded",2016,8.55,2.78,GRP,41,Germany,164945.0
Motor Yacht,Jacabo power boats,"Used boat,Diesel",1999,14.5,4.3,Steel,148,Germany,164450.0
Motor Yacht,Sarnico power boats,Used boat,1998,16.7,4.38,GRP,129,Croatia,164450.0
Flybridge,Cobra Yachts power boats,"new boat from stock,Diesel",2019,11.4,3.5,GRP,431,Poland,164022.1
Sport Boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,10.57,3.21,PVC,76,France,163977.0
Hardtop,Galeon power boats,"Used boat,Diesel",2011,10.2,3.35,GRP,143,Sweden,163900.0
Flybridge,Cranchi power boats,"Used boat,Diesel",2004,13.16,3.84,GRP,101,Spain,163900.0
Motor Yacht,Sea Ray power boats,"Used boat,Diesel",1992,15.0,4.65,GRP,126,Germany,163900.0
Trawler,ReLine power boats,Used boat,2005,12.6,3.8,Steel,49,Netherlands,163900.0
Sport Boat,Princess power boats,"Used boat,Diesel",1998,16.8,4.27,PVC,186,France,163900.0
Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,15.0,4.4,GRP,145,Croatia,163900.0
Bowrider,Frauscher power boats,"Used boat,Unleaded",2018,7.47,2.49,GRP,209,Italy,163900.0
Runabout,Boesch power boats,"Used boat,Unleaded",2007,7.5,2.4,Wood,143,Austria,163900.0
Flybridge,Raffaelli power boats,"Used boat,Diesel",1996,16.0,4.3,GRP,79,Croatia,163900.0
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1996,14.94,3.29,GRP,166,Spain,163900.0
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",2002,14.1,4.2,GRP,189,Spain,163900.0
Flybridge,Sealine power boats,"Used boat,Diesel",2000,13.2,4.2,GRP,155,Croatia,163900.0
Pilothouse,Menorquin power boats,"Used boat,Diesel",2002,12.4,3.9,PVC,135,Spain,163900.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,10.9,3.31,GRP,71,Spain,163900.0
Motor Yacht,Princess power boats,"Used boat,Diesel",1994,14.5,4.25,GRP,70,France,163900.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2015,10.06,3.31,GRP,105,Spain,163900.0
Trawler,ReLine power boats,Used boat,2005,12.6,3.8,Steel,45,Netherlands,163900.0
Trawler,Linssen power boats,Used boat,2001,11.5,3.95,Steel,93,Netherlands,163900.0
Trawler,Flevo power boats,Used boat,2000,14.75,4.25,Steel,74,Netherlands,163900.0
Flybridge,Rodman power boats,"Used boat,Diesel",2004,13.7,4.2,GRP,25,Slovenia,163900.0
Flybridge,Carnevali power boats,"Used boat,Diesel",2001,11.99,4.33,GRP,49,Italy,163900.0
Wakeboard/Wakesurf,Nautique power boats,"new boat on order,Unleaded",2020,7.24,2.59,GRP,53,Germany,163350.0
Sport Boat,Chaparral power boats,"Used boat,Unleaded",2012,9.45,3.05,GRP,297,Switzerland,23850.0
Flybridge,Sealine power boats,"Used boat,Diesel",2004,11.73,3.78,PVC,110,United,175435.0
Flybridge,Fairline power boats,"Used boat,Diesel",2002,11.58,3.76,PVC,103,United,175435.0
Sport Boat,Jeanneau power boats,Used boat,2020,9.22,3.0,PVC,59,United,175435.0
"Classic,Runabout",Comitti power boats,"Display Model,Unleaded",2017,6.5,2.15,Wood,166,Switzerland,24000.0
Motor Yacht,Galeon power boats,"Used boat,Unleaded",2014,10.99,3.35,GRP,152,Croatia,162800.0
Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,9.23,2.98,PVC,65,France,162800.0
Pontoon Boat,Sessa power boats,"Used boat,Unleaded",2010,11.42,3.56,GRP,251,Italy,162800.0
Pilothouse,Linex power boats,"Used boat,Diesel",2012,9.1,3.1,GRP,75,Germany,162800.0
Hardtop,Elan power boats,"Used boat,Diesel",2013,10.62,3.6,GRP,151,Croatia,162800.0
Motor Yacht,Azimut power boats,"Used boat,Diesel",1997,12.01,4.1,GRP,60,Portugal,162250.0
Motor Yacht,Fairline power boats,"Used boat,Diesel",2006,11.61,3.65,GRP,152,Portugal,162250.0
Trawler,De Boarnstream power boats,"Used boat,Diesel",2008,10.8,3.8,Steel,118,Netherlands,162250.0
Pilothouse,Finnmaster power boats,"new boat from stock,Unleaded",2020,8.4,3.0,GRP,89,Germany,162250.0
Sport Boat,B̩n̩teau power boats,"new boat from stock,Unleaded",2019,9.95,3.35,PVC,65,Spain,161942.0
Motor Yacht,Princess power boats,Used boat,1995,13.68,4.17,GRP,214,Denmark,1204500.0
Sport Boat,Sea Ray power boats,"new boat from stock,Unleaded",2020,8.3,2.59,GRP,145,Austria,161370.0
Sport Boat,Tony Giugliano power boats,"Used boat,Diesel",2004,10.94,3.28,GRP,227,Switzerland,23700.0
Motor Yacht,Windy power boats,"Used boat,Diesel",2003,11.04,3.5,GRP,187,Germany,160490.0
Sport Boat,Jeanneau power boats,Used boat,2009,11.5,3.89,GRP,150,Italy,159500.0
Hardtop,Jeanneau power boats,"Used boat,Diesel",2018,9.43,3.15,PVC,103,Belgium,159500.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2011,11.66,3.59,GRP,157,Germany,159500.0
Motor Yacht,Pershing power boats,"Used boat,Diesel",2004,11.78,3.25,GRP,78,Italy,159500.0
Motor Yacht,Windy power boats,"Used boat,Diesel",2002,12.25,3.5,GRP,107,Croatia,159500.0
Trawler,Eurobanker power boats,"Used boat,Diesel",1981,11.7,4.06,PVC,104,France,159500.0
Motor Yacht,Raffaelli power boats,"Used boat,Diesel",2001,14.8,4.4,GRP,122,Croatia,159500.0
Sport Boat,Jeanneau power boats,Used boat,2016,10.57,3.21,PVC,28,France,159500.0
Trawler,B̩n̩teau power boats,"Used boat,Diesel",2004,13.6,4.17,PVC,118,France,159500.0
Pontoon Boat,Menorquin power boats,"Used boat,Diesel",2002,11.85,3.9,GRP,65,Italy,159500.0
Catamaran,Fountaine Pajot power boats,"Used boat,Diesel",2000,11.15,5.1,GRP,221,Spain,159500.0
Motor Yacht,Gobbi power boats,"Used boat,Diesel",2006,14.0,4.02,GRP,65,Italy,159500.0
Motor Yacht,Uniesse power boats,"Used boat,Diesel",2002,13.8,4.06,GRP,51,Italy,159500.0
Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2019,9.31,2.99,GRP,131,Germany,159390.0
Motor Yacht,Bavaria power boats,"new boat from stock,Unleaded",2019,9.31,2.99,GRP,132,Germany,159390.0
Cabin Boat,Regal power boats,"new boat from stock,Unleaded",2020,7.9,2.5,GRP,194,Germany,159185.40000000002
Sport Boat,Formula power boats,"Used boat,Unleaded",2007,9.45,2.9,GRP,185,Switzerland,23250.0
Cabin Boat,Sea Ray power boats,"new boat on order,Unleaded",2021,8.1,2.56,GRP,94,Germany,158290.0
Sport Boat,Cranchi power boats,new boat from stock,2020,7.85,2.49,PVC,91,France,155931.6
Hardtop,Jeanneau power boats,"new boat from stock,Unleaded",2020,9.23,3.0,PVC,87,France,155854.6
Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",2020,8.6,2.98,PVC,89,France,155454.2
Bowrider,Four Winns power boats,"new boat from stock,Unleaded",2020,7.41,2.54,PVC,46,France,154594.0
Sport Boat,Cranchi power boats,"Used boat,Diesel",2006,10.41,3.64,GRP,40,Italy,154000.0
Motor Yacht,Fairline power boats,Used boat,1995,15.24,0.9943365695792881,GRP,127,Malta,154000.0
Trawler,Menorquin power boats,"Used boat,Diesel",2004,12.4,3.9,GRP,81,Croatia,154000.0
Motor Yacht,Sea Ray power boats,"Used boat,Diesel",2006,13.72,4.27,GRP,118,Croatia,154000.0
Flybridge,Sealine power boats,"Used boat,Diesel",1999,13.4,4.05,GRP,110,Italy,154000.0
Flybridge,Mochi Craft power boats,"Used boat,Diesel",1984,12.3,3.8,GRP,96,Italy,154000.0
Flybridge,ACM Dufour power boats,"Used boat,Diesel",2000,13.11,3.66,GRP,70,Croatia,154000.0
Fishing Boat,Tiara power boats,"Used boat,Diesel",1998,13.26,4.47,GRP,26,Italy,154000.0
Motor Yacht,Cantieri Estensi power boats,"Used boat,Diesel",2009,9.99,3.5,GRP,61,Italy,154000.0
Flybridge,Azimut power boats,"Used boat,Diesel",2010,10.4,3.6,PVC,62,Cyprus,154000.0
Motor Yacht,Pershing power boats,"Used boat,Diesel",2002,11.45,3.25,GRP,104,Portugal,154000.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,11.8,3.84,GRP,122,Croatia,154000.0
Sport Boat,Sarnico power boats,"Used boat,Diesel",1996,14.85,4.3,PVC,89,France,154000.0
Sport Boat,Cranchi power boats,"Used boat,Unleaded",2018,9.45,2.74,GRP,159,Italy,154000.0
Motor Yacht,Bavaria power boats,"Used boat,Unleaded",2010,10.8,3.59,GRP,188,Germany,154000.0
Flybridge,3B Craft power boats,"Used boat,Diesel",2008,9.9,3.8,GRP,41,Italy,154000.0
Motor Yacht,Beachcraft power boats,"Used boat,Diesel",1977,14.83,4.46,Steel,199,Austria,154000.0
Motor Yacht,Innovazione&Progetti power boats,"Used boat,Diesel",2002,14.0,4.0,GRP,63,Croatia,153450.0
Motor Yacht,Bavaria power boats,"Used boat,Diesel",2012,11.7,3.6,GRP,499,Germany,153450.0
Motor Yacht,Formula Cruisers power boats,"Used boat,Unleaded",2003,11.7,3.63,GRP,138,Switzerland,22425.0
Motor Yacht,Rio power boats,"Used boat,Diesel",2005,13.35,4.0,GRP,38,Italy,152900.0
Motor Yacht,Sunseeker power boats,"Used boat,Diesel",1998,10.98,3.1,GRP,180,Croatia,152900.0
Hardtop,Cayman power boats,"Used boat,Diesel",2006,13.24,4.42,GRP,39,Italy,152900.0
Deck Boat,Albatro power boats,"new boat from stock,Unleaded",2017,8.5,3.04,GRP,36,Germany,152900.0
Cabin Boat,Motomar power boats,Used boat,1980,13.38,4.63,GRP,53,Italy,152900.0
Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2009,11.31,3.77,GRP,104,Croatia,152900.0
Hardtop,B̩n̩teau power boats,"Used boat,Diesel",2006,12.62,3.99,PVC,127,Spain,152900.0
Trawler,Valkkruiser power boats,Used boat,1996,14.1,4.1,Steel,86,Belgium,152900.0
Motor Yacht,Elan power boats,"Used boat,Diesel",2015,13.0,4.0,GRP,135,Croatia,152900.0
Flybridge,Princess power boats,"Used boat,Diesel",2002,12.19,3.81,GRP,187,Croatia,152900.0
Motor Yacht,Sealine power boats,"Used boat,Diesel",1999,13.6,4.16,GRP,86,Germany,152900.0
Motor Yacht,Apreamare power boats,"Used boat,Diesel",2003,10.97,4.01,GRP,71,Croatia,152900.0
Motor Yacht,Airon Marine power boats,"Used boat,Diesel",2006,13.45,3.74,PVC,35,France,152900.0
Motor Yacht,Kronborg Marine power boats,"Used boat,Diesel",2004,10.05,3.5,GRP,107,Germany,152900.0
Sport Boat,Jeanneau power boats,"Used boat,Diesel",2017,9.23,3.0,PVC,26,France,152900.0
Sport Boat,Parker power boats,"Used boat,Unleaded",2019,8.3,2.8,GRP,58,Germany,152900.0
Sport Boat,Tecnorib power boats,"new boat from stock,Unleaded",2020,9.02,3.12,GRP,529,Switzerland,152350.0
Motor Yacht,B̩n̩teau power boats,"Used boat,Diesel",2009,12.12,3.77,GRP,147,Croatia,151800.0
Bowrider,Chris Craft power boats,"Used boat,Unleaded",2016,8.07,2.59,PVC,103,France,151800.0
Hardtop,Ferretti power boats,"Used boat,Diesel",1991,14.1,4.26,GRP,48,Portugal,151800.0
Flybridge,B̩n̩teau power boats,"Used boat,Diesel",2015,10.22,3.39,PVC,113,France,151800.0
Flybridge,Mochi Craft power boats,"Used boat,Diesel",1998,14.0,0.9943365695792881,GRP,134,Italy,151800.0
Hardtop,Jeanneau power boats,"Used boat,Diesel",2014,9.12,3.15,PVC,97,France,151800.0
Flybridge,Princess power boats,"Used boat,Diesel",1992,15.27,4.45,PVC,109,United,163475.0
Motor Yacht,Jeanneau power boats,"Used boat,Diesel",2011,10.85,3.73,GRP,742,Switzerland,22350.0
